,id,wells,reps,depth,Land_use,Treatment,Clay,Silt,Sand,SM,pH,soil_Ca,soil_Mg,soil_K,soil_Na,soil_Cl,soil_SO4,soil_HCO3,SOC,STN,avaP,BG,CB,NAG,ALP
131,s023.rep2.d2,s023,rep2,10-20cm,Plantation,Plantation_non-adjacent,0.0018,0.0657,0.9325,0.03086,7.78,0.384,0.117,0.069,0.282,1.35,1.64,0.09,1.685608479,0.165274843,2.198079613,5.4,0.34,0.52,20.15
132,s023.rep3.d2,s023,rep3,10-20cm,Plantation,Plantation_non-adjacent,0.0017,0.0708,0.9275,0.02049,7.88,0.587,0.3,0.217,0.664,4.192,4.665,0.13,1.845670669,0.175181609,2.177907477,1.17,0.15,1.24,17.67
133,s023.rep1.d3,s023,rep1,20-40cm,Plantation,Plantation_non-adjacent,0.0013,0.0384,0.9604,0.03226,9.17,0.041,0.033,0.035,0.401,0.41,0.229,0.076,1.211,0.257,1.413,1.47,0.2,0.4,21.03
134,s023.rep2.d3,s023,rep2,20-40cm,Plantation,Plantation_non-adjacent,0,0.0308,0.9692,0.02259,9.13,0.068,0.025,0.037,0.488,0.425,0.235,0.096,1.365,0.198,1.558,12.84,0.75,0.62,24.04
135,s023.rep3.d3,s023,rep3,20-40cm,Plantation,Plantation_non-adjacent,9e-04,0.0449,0.9542,0.04536,9.08,0.055,0.018,0.035,0.342,0.4,0.196,0.086,1.276,0.241,1.393,2.25,0.19,0.39,14.59
136,s023.rep1.d4,s023,rep1,40-60cm,Plantation,Plantation_non-adjacent,0.0018,0.0468,0.9514,0.0617,9.03,0.055,0.033,0.034,0.52,0.555,0.294,0.076,1.063,0.207,1.229,1.88,0.26,0.32,18.21
137,s023.rep2.d4,s023,rep2,40-60cm,Plantation,Plantation_non-adjacent,0.0016,0.05,0.9484,0.05462,9.02,0.055,0.035,0.035,0.384,0.57,0.301,0.08,1.082,0.236,1.222,2.9,0.24,0.37,12.03
138,s023.rep3.d4,s023,rep3,40-60cm,Plantation,Plantation_non-adjacent,0.0024,0.0799,0.9176,0.08677,9.01,0.055,0.047,0.036,0.362,0.55,0.281,0.083,1.118,0.177,1.4,3.42,0.29,0.34,11.03
139,s023.rep1.d5,s023,rep1,60-80cm,Plantation,Plantation_non-adjacent,0.0026,0.077,0.9204,0.07759,8.8,0.084,0.017,0.035,0.414,0.65,0.268,0.063,0.916,0.225,1.163,0.79,0.19,0.43,8.22
140,s023.rep2.d5,s023,rep2,60-80cm,Plantation,Plantation_non-adjacent,0.0017,0.0547,0.9436,0.06596,8.83,0.065,0.033,0.032,0.494,0.625,0.288,0.076,0.94,0.159,0.985,3.07,0.28,0.43,18.35
141,s023.rep3.d5,s023,rep3,60-80cm,Plantation,Plantation_non-adjacent,8e-04,0.0243,0.975,0.04959,8.8,0.076,0.042,0.034,0.389,0.65,0.347,0.076,1.013,0.146,1.143,0.46,0.12,0.24,4.21
142,s023.rep1.d6,s023,rep1,80-100cm,Plantation,Plantation_non-adjacent,0.0024,0.0597,0.9379,0.07974,8.86,0.101,0.048,0.035,0.398,0.825,0.301,0.063,0.474,0.126,0.874,1.21,0.13,0.18,2.92
143,s023.rep2.d6,s023,rep2,80-100cm,Plantation,Plantation_non-adjacent,5e-04,0.0305,0.969,0.03086,8.79,0.098,0.048,0.035,0.507,0.81,0.294,0.07,0.782,0.097,0.972,0.8,0.13,0.25,9.68
144,s023.rep3.d6,s023,rep3,80-100cm,Plantation,Plantation_non-adjacent,0,0.0075,0.9925,0.04175,8.78,0.095,0.052,0.032,0.416,0.795,0.323,0.063,0.781,0.114,0.933,0.07,0.1,0.23,3.57
145,s028.rep1.d1,s028,rep1,0-10cm,Plantation,Plantation_non-adjacent,7e-04,0.0387,0.9607,0,8.87,0.043,0.033,0.068,0.12,0.7,0.41,0.13,1.632563977,0.140464732,0.933959118,3.47,0.17,0.27,11.84
146,s028.rep2.d1,s028,rep2,0-10cm,Plantation,Plantation_non-adjacent,0,0.0366,0.9634,0,8.46,0.032,0.033,0.061,0.12,0.825,0.205,0.12,1.193118958,0.1422647,1.169300699,1.57,0.12,0.24,10.64
147,s028.rep3.d1,s028,rep3,0-10cm,Plantation,Plantation_non-adjacent,8e-04,0.0344,0.9634,0.00199,7.57,0.182,0.065,0.135,0.435,3.051,1.205,0.08,1.116916633,0.139624785,1.801360947,2,0.12,0.34,5
148,s028.rep1.d2,s028,rep1,10-20cm,Plantation,Plantation_non-adjacent,0,0.0204,0.9796,0,7.75,0.085,0.013,0.101,0.097,1,0.256,0.1,1.406369653,0.133479641,2.110667025,1.01,0.1,0.25,3.52
149,s028.rep2.d2,s028,rep2,10-20cm,Plantation,Plantation_non-adjacent,0.0017,0.0546,0.9437,0,8.09,0.075,0.052,0.132,0.295,2.151,1.025,0.11,1.634961758,0.170123527,1.525675094,1.32,0.11,0.24,4.92
150,s028.rep3.d2,s028,rep3,10-20cm,Plantation,Plantation_non-adjacent,0,0.0318,0.9681,0.00965,8.12,0.064,0.026,0.021,0.094,0.25,0.051,0.09,0.976,0.12222,0.880166756,1.56,0.11,0.33,2.62
151,s028.rep1.d3,s028,rep1,20-40cm,Plantation,Plantation_non-adjacent,0.001,0.0412,0.9578,0.002,8.48,0.123,0.032,0.053,0.781,0.975,0.661,0.066,0.986,0.127,1.018,0.9,0.1,0.28,4.13
152,s028.rep2.d3,s028,rep2,20-40cm,Plantation,Plantation_non-adjacent,0.001,0.0341,0.9649,0.01603,8.43,0.112,0.033,0.057,0.737,1.025,0.647,0.066,0.841,0.137,0.841,1.1,0.11,0.24,3.5
153,s028.rep3.d3,s028,rep3,20-40cm,Plantation,Plantation_non-adjacent,0,0.0406,0.9594,0.02381,8.42,0.134,0.043,0.063,0.818,1.05,0.818,0.04,0.869,0.153,1.018,1.88,0.12,0.53,9.58
154,s028.rep1.d4,s028,rep1,40-60cm,Plantation,Plantation_non-adjacent,9e-04,0.0268,0.9723,0.002,8.37,0.068,0.03,0.035,0.75,0.975,0.379,0.053,0.637,0.272,1.051,1.05,0.11,0.18,3.03
155,s028.rep2.d4,s028,rep2,40-60cm,Plantation,Plantation_non-adjacent,2e-04,0.0269,0.9728,0.00806,8.35,0.068,0.043,0.03,0.757,0.95,0.419,0.033,0.617,0.094,1.025,1.1,0.11,0.21,2.81
156,s028.rep3.d4,s028,rep3,40-60cm,Plantation,Plantation_non-adjacent,1e-04,0.0116,0.9883,0.01779,8.33,0.082,0.035,0.032,0.719,1.025,0.412,0.053,1.012,0.102,0.9,1.45,0.11,0.37,5.22
157,s028.rep1.d5,s028,rep1,60-80cm,Plantation,Plantation_non-adjacent,0.0011,0.0339,0.9651,0.01008,8.3,0.068,0.027,0.025,0.709,0.95,0.249,0.053,0.536,0.085,1.377,1.67,0.12,0.26,4
158,s028.rep2.d5,s028,rep2,60-80cm,Plantation,Plantation_non-adjacent,3e-04,0.0234,0.9762,0.00998,8.29,0.071,0.037,0.026,0.608,0.95,0.32,0.04,0.594,0.09,1.384,1.43,0.11,0.24,6.67
159,s028.rep3.d5,s028,rep3,60-80cm,Plantation,Plantation_non-adjacent,1e-04,0.0074,0.9925,0.00808,8.28,0.076,0.022,0.022,0.68,0.9,0.255,0.037,0.623,0.085,1.49,1.66,0.12,0.4,8.2
160,s028.rep1.d6,s028,rep1,80-100cm,Plantation,Plantation_non-adjacent,0,0.0357,0.9643,0.01012,8.39,0.06,0.005,0.022,0.518,0.555,0.196,0.037,0.601,0.075,2.466,1.82,0.14,0.32,4.78
161,s028.rep2.d6,s028,rep2,80-100cm,Plantation,Plantation_non-adjacent,0.0013,0.0391,0.9696,0.02045,8.34,0.052,0.015,0.023,0.485,0.56,0.19,0.027,0.497,0.071,2.538,1.14,0.12,0.23,4.84
162,s028.rep3.d6,s028,rep3,80-100cm,Plantation,Plantation_non-adjacent,0,0.0052,0.9948,0.00596,8.35,0.041,0.02,0.023,0.466,0.58,0.229,0.047,0.515,0.105,2.926,1.43,0.11,0.33,1.98
163,s034.rep1.d1,s034,rep1,0-10cm,Plantation,Plantation_non-adjacent,0,0.031,0.969,0.00194,7.62,0.128,0.065,0.109,0.332,2.001,0.974,0.07,1.376840568,0.123981741,0.839822485,2.13,0.14,0.35,6.52
164,s034.rep2.d1,s034,rep2,0-10cm,Plantation,Plantation_non-adjacent,0.0019,0.0828,0.9153,0.002,9.43,0.085,0.033,0.302,0.45,2.526,1.41,0.09,1.283067398,0.161843289,2.164459387,3.79,0.17,0.42,5.84
165,s034.rep3.d1,s034,rep3,0-10cm,Plantation,Plantation_non-adjacent,0,0.0435,0.9565,0.00198,7.89,0.214,0.098,0.137,0.388,2.601,1.435,0.09,1.309336184,0.147799103,1.115508338,1.85,0.12,0.44,3.61
166,s034.rep1.d2,s034,rep1,10-20cm,Plantation,Plantation_non-adjacent,0,0.0397,0.9603,0.00394,7.56,0.299,0.072,0.096,0.337,2.151,1.435,0.07,1.445400117,0.147359242,1.034819796,1.41,0.11,0.32,2.26
167,s034.rep2.d2,s034,rep2,10-20cm,Plantation,Plantation_non-adjacent,0.0014,0.0543,0.9443,0.00193,7.57,0.684,0.169,0.155,0.472,3.573,3.076,0.07,1.227135308,0.14259,1.639983862,1.76,0.12,0.39,2.69
168,s034.rep3.d2,s034,rep3,10-20cm,Plantation,Plantation_non-adjacent,0.0015,0.0448,0.9537,0.00198,8.34,0.075,0.02,0.028,0.104,0.475,0.205,0.09,1.097560976,0.141555239,1.034819796,1.63,0.12,0.38,2.14
169,s034.rep1.d3,s034,rep1,20-40cm,Plantation,Plantation_non-adjacent,0,0.0333,0.9667,0.00198,9.14,0.079,0.043,0.113,1.312,1.756,0.647,0.07,1.037,0.141,1.258,1.58,0.11,0.36,2.7
170,s034.rep2.d3,s034,rep2,20-40cm,Plantation,Plantation_non-adjacent,6e-04,0.0183,0.981,0.00994,8.72,0.079,0.037,0.113,1.298,1.771,0.582,0.066,1.188,0.129,1.139,2.28,0.12,0.43,4.62
171,s034.rep3.d3,s034,rep3,20-40cm,Plantation,Plantation_non-adjacent,0.0012,0.0393,0.9595,0.00198,8.73,0.055,0.052,0.107,1.249,1.636,0.615,0.066,1.422,0.103,1.152,1.64,0.13,0.42,3.21
172,s034.rep1.d4,s034,rep1,40-60cm,Plantation,Plantation_non-adjacent,0,0.0247,0.9753,0.00786,8.89,0.055,0.038,0.102,1.145,1.39,0.608,0.066,0.941,0.14,0.995,2.72,0.11,0.35,3.26
173,s034.rep2.d4,s034,rep2,40-60cm,Plantation,Plantation_non-adjacent,7e-04,0.026,0.9733,0.01569,8.95,0.06,0.022,0.096,1.135,1.3,0.543,0.066,0.866,0.068,1.238,1.82,0.12,0.42,4.25
174,s034.rep3.d4,s034,rep3,40-60cm,Plantation,Plantation_non-adjacent,0,0.0215,0.9785,0.00391,8.91,0.063,0.032,0.098,1.144,1.35,0.602,0.05,0.963,0.075,1.205,1.64,0.1,0.43,3.3
175,s034.rep1.d5,s034,rep1,60-80cm,Plantation,Plantation_non-adjacent,0.001,0.0261,0.9729,0.01569,8.93,0.044,0.028,0.045,0.559,0.73,0.255,0.06,0.657,0.073,1.278,2.21,0.11,0.42,4.02
176,s034.rep2.d5,s034,rep2,60-80cm,Plantation,Plantation_non-adjacent,9e-04,0.0264,0.9727,0.02041,8.84,0.052,0.027,0.047,0.543,0.77,0.255,0.06,0.652,0.07,1.219,1.97,0.13,0.48,4.69
177,s034.rep3.d5,s034,rep3,60-80cm,Plantation,Plantation_non-adjacent,3e-04,0.0185,0.9812,0.00583,8.76,0.055,0.025,0.047,0.587,0.755,0.262,0.043,0.6,0.073,1.252,1.63,0.12,0.55,3.66
178,s034.rep1.d6,s034,rep1,80-100cm,Plantation,Plantation_non-adjacent,0,0.0251,0.9749,0.01202,8.74,0.052,0.025,0.038,0.562,0.745,0.255,0.043,0.479,0.077,1.351,1.72,0.12,0.42,3.58
179,s034.rep2.d6,s034,rep2,80-100cm,Plantation,Plantation_non-adjacent,6e-04,0.0192,0.9802,0.01829,8.76,0.035,0.03,0.037,0.515,0.715,0.235,0.06,0.571,0.08,1.199,1.87,0.12,0.41,3.11
180,s034.rep3.d6,s034,rep3,80-100cm,Plantation,Plantation_non-adjacent,2e-04,0.0101,0.9897,0.00795,8.71,0.049,0.022,0.038,0.588,0.75,0.235,0.043,0.506,0.092,1.483,1.78,0.13,0.41,3.34
181,s010.ck.rep1.d1,s010.ck,rep1,0-20cm,Desert,Desert,0.0023,0.0623,0.9354,0.002,8.74,0.082,0.017,0.035,0.399,0.4,0.294,0.1,0.569,0.169,1.094,0.36,0.15,0.27,2.52
182,s010.ck.rep2.d1,s010.ck,rep2,0-20cm,Desert,Desert,NA,NA,NA,0.002,8.57,0.06,0.03,0.035,0.356,0.355,0.262,0.1,0.634,0.162,0.953,0.39,0.14,0.27,2.49
183,s010.ck.rep3.d1,s010.ck,rep3,0-20cm,Desert,Desert,NA,NA,NA,0.002,8.7,0.09,0.013,0.039,0.386,0.38,0.268,0.1,0.663,0.154,0.919,0.33,0.15,0.28,2.59
184,s010.ck.rep1.d2,s010.ck,rep1,20-40cm,Desert,Desert,0.0084,0.1129,0.8788,0.00201,8.57,0.15,0.038,0.034,0.594,0.69,0.34,0.066,0.738,0.17,1.013,0.37,0.14,0.26,2.49
185,s010.ck.rep2.d2,s010.ck,rep2,20-40cm,Desert,Desert,NA,NA,NA,0,8.56,0.164,0.018,0.037,0.516,0.69,0.242,0.083,0.738,0.195,0.993,0.34,0.15,0.29,2.61
186,s010.ck.rep3.d2,s010.ck,rep3,20-40cm,Desert,Desert,NA,NA,NA,0.00198,8.56,0.188,0.018,0.036,0.546,0.725,0.36,0.083,0.714,0.196,1.241,0.34,0.16,0.29,2.55
187,s010.ck.rep1.d3,s010.ck,rep1,40-60cm,Desert,Desert,0.0048,0.0905,0.9047,0.00201,8.54,0.139,0.048,0.047,0.565,0.635,0.425,0.1,0.736,0.232,1.04,0.31,0.15,0.27,2.47
188,s010.ck.rep2.d3,s010.ck,rep2,40-60cm,Desert,Desert,NA,NA,NA,0.002,8.55,0.136,0.033,0.048,0.536,0.625,0.327,0.093,0.675,0.175,1.074,0.45,0.15,0.29,2.77
189,s010.ck.rep3.d3,s010.ck,rep3,40-60cm,Desert,Desert,NA,NA,NA,0.002,8.53,0.15,0.025,0.047,0.493,0.6,0.392,0.09,0.764,0.18,1.06,0.39,0.12,0.27,2.72
