"","row","col","geo","dep","sal","env","nut","enz","bac.repl","bac.rich","bac.sor","bac.repl.wt","bac.rich.wt","bac.sor.wt","fun.repl","fun.rich","fun.sor","fun.repl.wt","fun.rich.wt","fun.sor.wt"
"1","Site2","Site1",0,10,3.79862683935919,4.31610148650797,3.31282103562384,1.17309701937591,0.327642656688494,0.000233863423760524,0.327876520112254,0.315147119767924,0.0452479624257494,0.360395082193673,0.283621140763998,0.117739403453689,0.401360544217687,0.307976923463779,0.298917299499242,0.606894222963022
"2","Site3","Site1",0,25,6.6797719569893,5.02735977283003,4.32770084343189,0.821496203081703,0.323788546255507,0.0462555066079295,0.370044052863436,0.363361410127159,0.0157013236202803,0.379062733747439,0.320168509741969,0.12480252764613,0.444971037388099,0.077420832165375,0.42756750141142,0.504988333576795
"3","Site4","Site1",0,45,7.28026405120368,5.82593010336731,4.68660831938323,0.647241504701412,0.298312883435583,0.0927914110429448,0.391104294478528,0.472763081031461,0.0103045981807561,0.483067679212217,0.315217391304348,0.160869565217391,0.476086956521739,0.193298231651369,0.189170878978127,0.382469110629495
"4","Site5","Site1",0,65,7.21946935085849,5.96778300675872,4.52685358580795,1.59899995584676,0.314855305466238,0.0996784565916399,0.414533762057878,0.457868687030482,0.0304111739360254,0.488279860966507,0.330890052356021,0.118324607329843,0.449214659685864,0.289928755393518,0.0995022303849276,0.389430985778445
"5","Site6","Site1",0,85,7.09600883665814,5.9772039782594,4.52274389410831,1.39079497932071,0.293488072211476,0.102514506769826,0.396002578981302,0.453938400699408,0.0515938795526546,0.505532280252063,0.32475884244373,0.144694533762058,0.469453376205788,0.442251485815487,0.0178134880537175,0.460064973869205
"6","Site7","Site1",0.107501664664997,0,3.87467167452677,1.97761286281635,1.1743269040356,6.67658208836473,0.285829850343805,0.152757179452609,0.438587029796414,0.412739106109644,0.0717265213911886,0.484465627500832,0.401030927835052,0.101030927835052,0.502061855670103,0.229018029466489,0.215867838849445,0.444885868315934
"7","Site8","Site1",0.107501664664997,10,4.39845493430264,2.01726026199903,1.80454891938114,2.53388344000562,0.282241014799154,0.129756871035941,0.411997885835095,0.320791680193442,0.129390604768142,0.450182284961584,0.39047619047619,0.13015873015873,0.520634920634921,0.399327066866054,0.122200967159309,0.521528034025364
"8","Site9","Site1",0.107501664664997,25,5.90832843214573,4.84143025722031,3.08169895807231,2.60473240870286,0.383179895496392,0.0636974371734262,0.446877332669818,0.447616756589574,0.040111344032441,0.487728100622014,0.44912641315519,0.0976361767728674,0.546762589928058,0.297442259276827,0.120443682270953,0.41788594154778
"9","Site10","Site1",0.107501664664997,45,5.26757725836707,5.15043325043501,2.68058797882879,0.604037130388546,0.38430583501006,0.0752012072434608,0.459507042253521,0.430434813923841,0.0899590178693613,0.520393831793202,0.414790996784566,0.144694533762058,0.559485530546624,0.308241697918051,0.0447015179794174,0.352943215897469
"10","Site11","Site1",0.107501664664997,65,5.50062848870086,5.52547375632544,4.03751118584454,1.11512753367558,0.365701161158607,0.090978690825571,0.456679851984178,0.446892265918324,0.0590474724182695,0.505939738336593,0.420656266810113,0.149004841312534,0.569661108122647,0.390479812127528,0.0496416431293887,0.440121455256917
"11","Site12","Site1",0.107501664664997,85,6.72423193109326,4.64736072121332,4.84476799870367,0.500586231260493,0.392005958291956,0.0613207547169811,0.453326713008937,0.422399241482844,0.0869996193048363,0.50939886078768,0.493914807302231,0.0831643002028398,0.577079107505071,0.352059835366496,0.133733577376788,0.485793412743285
"12","Site13","Site1",0.206798682279277,0,3.88355726126739,3.34057160884335,2.56507143623796,1.31124200785492,0.316590563165906,0.183063511830635,0.499654074996541,0.470638484284306,0.104888110101121,0.575526594385427,0.43812375249501,0.0658682634730539,0.503992015968064,0.303038800355476,0.220045556121172,0.523084356476648
"13","Site14","Site1",0.206798682279277,10,5.47761943405925,3.6629361418194,2.90742660331109,1.05731046958766,0.307547169811321,0.152291105121294,0.459838274932615,0.215285604749674,0.268124473643414,0.483410078393088,0.393406593406593,0.173626373626374,0.567032967032967,0.247415528303534,0.1467526859392,0.394168214242734
"14","Site15","Site1",0.206798682279277,25,4.35545420004842,4.99504348754001,3.05263215216632,0.848947317744283,0.385892116182573,0.0434464242128387,0.429338540395411,0.371132376395534,0.149320270372902,0.520452646768436,0.474404460212874,0.0826153066396351,0.557019766852509,0.356124862962322,0.130676244879118,0.48680110784144
"15","Site16","Site1",0.206798682279277,45,6.77409375765321,5.34033402755241,4.24798617406609,0.77590939394794,0.437262357414449,0.0159220532319392,0.453184410646388,0.572655686090072,0.0114802875460926,0.584135973636165,0.457929627740948,0.0892401835798062,0.547169811320755,0.262602067693929,0.255914164361912,0.518516232055841
"16","Site17","Site1",0.206798682279277,65,7.69186848464939,5.49927982957729,4.40548506161944,0.440900211588945,0.337869667626276,0.118817063595917,0.456686731222193,0.450189155107188,0.090477391460998,0.540666546568186,0.436939313984169,0.127176781002639,0.564116094986807,0.35816675341483,0.152235992516213,0.510402745931042
"17","Site18","Site1",0.206798682279277,85,7.80483013382702,5.61296036715761,4.37192041659936,1.18982419194025,0.346967926243345,0.11024542267238,0.457213348915725,0.51942674724765,0.0322574044010314,0.551684151648681,0.351052048726467,0.182724252491694,0.533776301218162,0.193256711638471,0.121988606039544,0.315245317678015
"18","Site19","Site1",0.206757905278401,0,5.04231493698825,3.39835145531415,2.58562677602729,1.22240728750856,0.277761413843888,0.25920471281296,0.536966126656848,0.421640983998452,0.148461126900587,0.570102110899039,0.385516506922258,0.137380191693291,0.522896698615548,0.535703686583902,0.0503441809648623,0.586047867548764
"19","Site20","Site1",0.206757905278401,10,5.42040194843895,3.72348590445415,2.94912474357043,0.717410023852646,0.316947500348141,0.190641971870213,0.507589472218354,0.425129220364051,0.165725598342282,0.590854818706333,0.412882787750792,0.127771911298838,0.54065469904963,0.607661435050739,0.0167879400920155,0.624449375142755
"20","Site21","Site1",0.206757905278401,25,5.40219001346179,4.34103914110162,4.01192294074037,0.809703242675166,0.342781456953642,0.132450331125828,0.47523178807947,0.362521808836705,0.189316420678707,0.551838229515412,0.42532981530343,0.127176781002639,0.552506596306069,0.542887374803352,0.012182354620729,0.555069729424081
"21","Site22","Site1",0.206757905278401,45,6.59003611555162,4.92963478417979,4.1571743065552,0.832354413623637,0.33118166249506,0.126333816361481,0.457515478856541,0.385738506110046,0.15833304629704,0.544071552407086,0.40997830802603,0.158351409978308,0.568329718004338,0.613271519886747,0.0231152031900926,0.63638672307684
